node;label
65208;0.30
65209;0.31
64121;0.32
65210;0.33
65211;0.34
65212;0.35
65213;0.36
65214;0.37
65215;0.38
65134;0.12
65218;0.39
65219;0.40
64128;342
64129;343
64130;347
65365;348
65366;362
65374;474
63109;64.0
65173;476
65196;842
65174;0.41
65175;0.42
65176;0.43
65131;0.13
65177;0.44
65178;0.45
65132;0.14
65179;0.46
65180;0.47
65181;0.48
65182;0.49
65183;1634
65184;1746
65185;1747
65186;0.50
65187;0.51
65188;0.52
65189;0.53
65190;0.54
65133;0.15
65191;0.55
65192;0.56
65193;0.57
65194;0.58
65203;0.59
65204;0.60
65205;0.61
65206;0.62
65207;0.63
64314;0.64
64315;0.65
65266;370
65739;371
63239;1.2.5.4.13
63240;1.2.5.4.14
65197;1.2.2.0.0.1
65198;1.2.2.0.0.2
65199;376
65265;377
65253;378
65105;63.0
65223;757
65224;758
65225;759
65226;760
65227;47.1
65847;778
65849;779
64378;47.2
65123;47.0
65228;780
65229;783
65230;784
65231;785
65232;824
65233;829
65234;830
65235;831
64391;0.66
65339;954
65558;0.172
64346;0.272
64347;0.67
65254;0.68
65255;0.69
65530;923
65531;0.70
63108;0.3
65536;0.71
65537;0.72
65538;0.73
64355;0.74
65834;0.75
64357;0.76
65539;0.77
65540;1208
65541;0.78
65542;0.79
65543;0.80
65544;0.81
65545;1211
65546;1212
65547;1213
65548;1214
65549;1215
65550;1216
65356;0.82
65159;203
64085;167
64071;66.0
65245;1450
65681;1459
65682;1460
65683;1461
65684;1462
65679;1463
65680;1464
65685;1465
65686;1469
65687;1476
65688;1477
64336;1478
65674;1481
65675;1482
65676;1483
64047;40.0
65314;1320
65140;207
65315;1321
65316;1322
63110;0.287.0
64421;0.83
65327;0.84
65326;1343
65328;0.85
65329;0.86
65317;1323
65318;1324
65321;1325
65322;1.2.2.0.0.3
65323;1.2.2.0.0.4
65324;0.87
65325;2119
65340;0.88
65341;0.89
65263;423
65264;0.90
65338;0.91
65331;0.92
65332;0.93
65333;1022
65334;1023
65335;1024
65336;0.94
39941;0.292.1.0.0.0.0
64411;900
64412;901
65819;902
65277;2026
65278;2027
65279;2028
65280;2029
65281;2030
65282;2031
65283;2032
65284;2033
64439;2034
64440;2035
65285;2036
65286;2037
65287;2040
65288;2046
65289;2047
65290;2048
65291;2049
65292;2050
65293;2052
65294;2053
64452;2058
65295;2056
65139;220
65296;2068
65297;2079
65298;2085
65299;2086
65300;2087
65301;2088
65302;2089
65753;2093
64462;2094
65303;2095
65304;2096
65305;2099
65306;2101
65307;2102
65308;2106
65309;2109
64470;2110
65310;2114
65311;2115
65312;2116
65313;2117
64475;2118
65267;56.1
65268;409
65269;56.2
65106;56.0
65270;2025
65201;175.0
65202;2126
64490;470
64491;471
64492;472
64493;473
65236;0.95
65237;0.96
65238;0.97
65239;0.98
65240;0.99
65241;0.100
65345;0.101
65222;0.102
65342;431
65343;432
65344;2164
28440;0.273
65349;0.103
65350;0.104
63144;0.16
65357;0.105
65358;2604
65359;2606
65360;0.106
64502;0.107
64503;0.108
65361;0.109
65362;0.110
63145;0.17
65363;0.111
65364;0.112
65142;0.18
65143;233
65375;0.113
65376;2617
65377;1688
65378;1689
65379;1690
65380;1692
65381;598
65382;599
65383;600
65384;0.136
65385;0.138
65386;0.139
65387;0.140
65388;0.141
65389;655
65390;656
65391;657
65392;658
65393;659
65394;660
65395;662
65396;663
64173;664
65397;668
65398;669
65399;670
65400;671
65410;672
65406;673
65523;675
65524;677
64181;679
65525;680
65526;682
64184;684
65412;687
63102;43.1
65413;690
65414;692
65415;694
65416;696
65417;697
65418;698
64195;702
65401;703
65402;704
65403;708
65404;0.142
65407;711
65408;713
65409;715
63111;0.4
65517;0.143
64211;0.144
64212;0.145
65419;0.146
64214;0.147
65420;1653
65421;1654
64218;1655
65115;0.7
65422;0.148
65518;1659
64225;1660
64226;1661
65505;1665
65506;1666
64227;1667
65423;1668
64229;1669
65509;1672
65510;1675
65511;1676
65512;1677
65513;1678
65514;1679
64240;1680
65515;1681
64242;1682
65516;1683
64244;1684
65424;1685
64246;1686
65425;0.149
65426;1687
64067;0.8
65427;0.150
65428;0.151
65429;0.152
65100;0.6
65430;0.153
65145;0.21
65431;0.154
65146;0.22
65432;0.155
65433;0.156
65434;606
65435;641
65436;643
65437;644
65438;645
65147;0.23
65439;647
65440;648
65441;649
65442;0.124
65148;0.20
65443;0.125
65444;0.126
65445;0.127
65446;0.128
65447;0.129
65448;0.130
65449;0.131
65450;0.132
65451;0.133
65452;0.114
65149;0.19
65453;0.115
65454;665
65455;0.116
65456;0.117
65457;0.118
65458;0.119
65459;0.120
65460;0.121
65461;0.122
65462;0.123
65463;666
65464;0.134
65465;0.157
65466;0.158
65467;0.159
65468;0.160
65469;2515
65470;2516
65471;2517
65472;2518
65473;0.161
65474;1055
63112;71.0
65475;1056
64539;1057
65476;1058
65477;1059
65478;1060
65479;1061
65480;1062
65481;1063
65482;1064
65609;1065
63153;0.24
65483;0.162
64550;1131
65484;1132
65485;1134
64554;0.163
65486;0.164
65487;0.165
65488;0.166
63154;0.25
65489;0.167
64559;0.168
65490;0.169
65491;2560
65095;0.2
65124;164
65125;165
65492;149.0
65493;149.1
64251;2634
65504;2635
65507;2636
65508;2637
64255;2638
64256;2639
65494;2640
65495;2641
65496;2642
65497;2643
64261;2644
64262;2646
65498;2647
65499;76.1
65520;2650
64268;2651
64269;2652
65500;2653
65501;2654
65502;2655
64068;76.0
65503;2656
65519;2657
65521;705
65522;709
64564;43.0
65527;0.170
65551;2659
65552;2660
64569;2661
64570;2662
65126;168
65116;0.9
65553;2664
65554;0.171
65555;2668
65556;2670
65101;106
65557;2673
65559;1643
64578;1645
65560;1642
65561;1649
65562;1650
65563;1651
65567;2682
65568;925
65569;0.175
65570;0.176
65571;0.177
64590;0.178
63103;0.288.0
65572;0.179
65573;0.180
65574;0.181
65575;0.182
65578;0.292.0.0.0
63604;0.292.0.0.1
65809;0.183
64597;0.184
63123;0.290.0
65579;0.185
64599;0.186
65580;984
65581;0.187
64602;0.188
65118;0.10
65582;1927
65153;0.274.0
65128;0.11
65154;0.275.0
65592;0.189
64107;0.26
64605;0.190
65593;0.191
65156;0.27
64608;0.192
65155;0.28
65583;0.193
65584;2689
65585;2690
65586;2693
65587;2695
64615;2697
65588;2698
64617;2700
64618;2701
65589;2702
65590;2703
65591;2705
64622;2691
65594;166.0
65595;2706
65596;2707
65599;2708
65600;0.194
65603;0.195
65606;0.196
65608;2710
64631;0.197
65612;1199
65041;1200
65610;0.198
65611;1202
64634;0.199
63113;0.5
65613;0.200
65614;0.201
65615;0.202
63106;0.289.0
65616;0.203
65617;0.204
65618;0.205
65619;1930
65620;0.206
65621;1933
65622;0.207
65623;0.208
65624;2006
65625;0.209
65626;0.210
65627;0.211
65628;0.212
65629;0.213
65630;1966
65631;1967
64656;1968
65632;1969
65633;1970
64661;1971
65634;1978
65635;1979
65636;1973
64663;1974
65637;1975
64665;1976
65638;1977
65639;1981
65640;1982
64669;0.214
65641;1983
65642;1934
65643;0.215
65644;0.216
64674;0.217
64675;1985
65645;0.218
64677;0.219
65646;0.220
65647;2880
65650;2150
64681;2151
65648;2153
65649;2154
65651;2882
65652;2883
65653;1636
65654;2884
64688;2886
64689;2893
65655;2894
64691;2895
65656;2896
65657;2887
65658;2899
64110;88.0
65659;2897
64697;863
64698;0.221
65660;0.222
65661;0.223
65663;573
65664;0.224
65665;0.225
65666;0.226
65667;0.227
65668;0.228
65669;0.229
64708;0.230
65672;0.231
65689;40.1
65690;2904
65691;2902
64713;2905
65692;2906
65693;2907
65694;2908
65695;2909
65696;2910
65697;2911
65698;2912
65699;2913
65701;2914
64104;238
65700;2915
65703;0.232
65704;0.233
65705;0.234
65706;2916
64728;0.235
65707;2948
65708;2949
65709;2950
65710;2951
65711;2952
65160;240
65712;2953
65713;2954
65714;2959
65715;2960
65716;2961
65717;2962
65718;2963
65720;2955
64742;2956
65719;2957
65721;2945
65722;2946
65723;2965
65724;2966
65725;2967
65726;2968
65727;2969
65728;2970
65729;2971
65730;2972
65731;2973
64755;2974
65732;2975
65733;2976
65734;2977
65735;0.236
65736;0.237
65737;0.238
65738;2979
65741;0.239
65742;0.240
65743;221.0
65744;2982
65745;2983
65120;112
65746;419
65747;412
65748;413
65749;414
65750;415
65751;416
65752;2985
65754;2992
65755;2993
65756;2995
65757;2996
65758;2998
65759;2073
65760;2124
65761;0.241
65762;2999
65763;3000
65764;3001
64787;3002
65765;3003
65766;3004
65767;3005
64791;3006
64792;3007
64793;3008
64794;3009
65768;3011
64796;3012
65769;3013
65770;3018
65771;3020
65772;3021
64801;3022
64802;3026
64803;3027
65773;3028
65774;3029
65775;3030
64807;3031
65776;3033
64809;3034
65777;3035
65778;3036
65779;3039
64815;3040
64816;3041
64817;3045
65780;3046
65121;125
65781;3047
65782;3015
64821;3016
64822;3023
65783;3024
65784;3037
64824;3048
64825;3049
64826;3050
64827;3051
64828;3052
65785;3053
64835;3056
64832;3057
65786;3058
64834;3059
65787;3060
65788;3061
64838;3042
65789;3043
65790;3054
65801;3064
65802;3065
65803;3066
65804;3067
65805;3068
65806;3069
65807;3070
65808;3071
64848;3072
65791;3073
65792;3074
65793;3075
64083;126
65795;3077
65796;3078
65797;3079
65798;3080
65799;3081
65800;3082
64046;35.0
65162;35.1
65810;0.242
65811;0.243
65812;3433
65813;2016
65814;3463
65815;0.244
65818;915
63128;0.291.0
64113;0.29
64865;0.245
65089;0.0
65820;0.246
64050;0.1
65821;0.247
65823;0.248
65825;3520
65826;0.249
65827;0.250
64873;0.251
64874;0.252
65828;0.253
64876;0.254
65829;0.255
64878;0.256
64879;0.257
64880;0.258
65830;0.259
64882;3525
65831;0.260
65832;0.261
65833;0.262
64886;0.263
65835;41.2
65836;41.3
65164;41.1
65837;41.4
65838;3556
65839;3550
65840;3551
65841;3552
65842;3553
65843;3554
64896;3555
65844;3557
64059;41.0
65845;3558
64899;3559
65846;3560
65165;250
64901;3561
64902;791
64903;3562
65848;826
65850;0.264
64906;0.265
65851;0.266
65852;3732
64909;0.267
65853;0.268
65854;3770
65855;3771
65856;3307
65857;3772
65858;3773
65859;3775
65860;3777
65861;3778
65862;3781
65863;3308
65864;3309
65166;52.0
65865;3784
65866;3787
65867;3788
65167;52.1
65868;3306
65869;52.2
65870;3789
65871;3790
65872;3791
65873;3792
65874;3793
65875;3794
65876;3796
65877;3797
65878;3798
65879;3799
65880;3821
65881;3826
65882;506
64940;504
64942;3819
64943;3816
64944;3829
65883;3830
64946;3831
65884;503
65885;507
65886;3832
65887;3833
65888;3834
65889;3835
65890;3836
65891;3837
65893;3838
65894;3840
65892;508
65895;3825
65042;3841
64960;3842
65043;3843
64961;3844
65896;3845
65044;3846
65897;3847
65045;3848
65899;3849
65046;3850
65047;3851
64964;3852
65898;3853
65901;3860
65900;3862
64969;3864
65903;3870
65048;3871
65902;3877
65904;3872
65905;3873
64974;3875
65906;3878
65907;3880
65908;3881
65909;3882
65049;3888
65050;3889
65051;3890
65052;3891
65922;3893
64980;3894
65911;3895
65912;3896
65913;3897
65914;3898
65910;3899
65915;3900
65917;3907
65916;3908
65918;3883
65919;3886
65920;3885
65053;3913
65921;3914
65054;3905
64993;3922
65923;3923
65924;3924
65925;3925
65926;3926
65927;3927
64999;3928
65000;3929
65928;169.0
65929;3930
65930;480
65931;0.269
65932;0.270
65933;3932
65934;3933
65935;3934
65936;3935
65937;3936
65129;170
65938;3937
65939;3938
65940;3939
65941;3940
65943;3941
65942;3942
64084;128
65017;3947
65944;3948
65945;3949
65169;258
65946;3950
65947;3951
65022;3954
65948;0.271
65949;3955
65950;3958
65951;3969
65952;3959
65953;3970
65954;3971
65955;3972
65956;3973
65957;3974
65958;3975
65959;3976
65960;3977
65961;3978
65962;3979
65963;3980
65964;3981
65965;3982
